idx,geo_id,name,centroid_lon,centroid_lat,area_m2,land_m2,water_m2,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_18_CVAP_Total,V_18_CVAP_White,V_18_CVAP_Hispanic,V_18_CVAP_Black,V_18_CVAP_Asian,V_18_CVAP_Native,V_18_CVAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_RemTwoOrMore,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,outer_perimeter_m,parent_state,parent_county,parent_tract,parent_group,parent_vtd
43,17021,Christian County,-89.2795927,39.5455242,1853797033.0,1837569687.0,16227346.0,34801,33332,471,631,221,162,15,33231,31605,533,653,260,131,68,32931,31291,535,689,266,158,36,34032,31226,1094,628,278,590,18,32705,31048,528,645,278,145,96,33893,31527,661,1134,291,150,6,27025,25995,313,450,143,123,11,26200,25190,270,459,93,119,60,25950,24990,224,451,93,158,30,27218,25069,925,410,201,439,14,27218,25069,925,322,144,53,1,33,671,25928,24812,266,427,205,126,85,26635,25600,348,374,203,93,0,10,15218,6911,7867,14296,5428,8868,15459,3992,10543,15195,4876,9316,12716,3702,6701,12715,3566,8737,14551,4201,9558,16204,4335,11563,15972,4874,10515,13984,3968,9576,12430,3865,8222,12546,3466,8635,12427,3582,8428,12497,3799,8415,12424,4082,8047,12470,4541,7688,12359,3610,8749,0.0,17,,,,
44,17095,Knox County,-90.2137921,40.9309446,1864265095.0,1855427713.0,8837382.0,52919,45132,2558,4612,463,388,29,50999,42325,2875,5030,689,422,0,50508,41855,2909,5016,675,464,19,49967,39615,3051,5678,716,940,208,50052,41226,2993,5077,636,292,22,49751,40484,3085,5089,650,317,24,42039,36694,1692,3115,351,290,21,40020,34715,1707,3017,275,262,0,39420,34325,1565,3026,258,261,0,40028,32784,2067,3799,572,713,194,40028,32784,2067,3294,306,60,6,158,1353,39040,33945,1597,2983,212,242,0,38680,33465,1667,3091,226,192,0,33,24194,14191,9419,22869,13465,9404,22503,10083,10737,22218,10651,10350,17699,8292,7831,17732,8252,8970,20855,9768,10180,23143,10703,12009,22846,10820,11349,20006,8993,10397,17568,8072,9130,17602,7486,9597,17459,7020,9887,17501,7038,9994,17473,7566,9457,17495,7981,9118,17493,8080,9405,0.0,17,,,,
45,17111,McHenry County,-88.452245,42.3242982,1582658994.0,1562786332.0,19872662.0,308798,258618,35251,4579,9552,2095,244,307789,250987,39326,6485,10588,1572,245,307716,249504,40266,6708,10863,1638,151,310229,238659,46705,6665,11717,6412,286,307291,246788,41218,7013,11213,2239,123,311133,244957,44625,7646,12335,2728,101,224619,194112,21191,2466,6138,1316,159,221100,194535,16648,3216,5676,899,15,222235,194535,17488,3409,5750,923,0,238877,191657,30077,3927,8237,4515,194,238877,191657,30077,2805,6810,270,38,588,6632,223286,194044,18691,3506,5999,961,0,227425,194820,21172,3779,6620,924,0,176,139624,72322,64877,131349,59779,71570,141750,60803,71612,141566,58815,72296,116194,48633,60646,116439,51707,61299,140245,62018,71395,163874,78154,82260,162729,73803,80440,135899,63014,67949,116519,56054,57974,116373,55134,56839,116053,54511,58732,116132,54617,58502,115613,52293,60158,116071,55742,57710,115818,55348,60470,41715.7629499382,17,,,,
46,17015,Carroll County,-89.9241894,42.0709,1209479223.0,1153597401.0,55881822.0,15387,14596,437,186,92,103,12,14562,13579,523,275,133,101,10,14466,13464,535,338,137,43,11,15702,13743,757,802,116,252,36,14398,13380,546,391,90,18,1,15594,13926,720,718,137,124,3,12226,11751,269,100,45,80,7,11620,11060,314,127,32,47,0,11580,10980,360,164,23,18,0,12871,11302,552,732,70,209,12,12871,11302,552,659,34,49,1,26,248,11593,10879,345,293,14,16,0,12665,11430,492,552,86,84,0,18,7767,3965,3596,7244,3674,3570,7445,2447,4434,7329,2577,4354,5945,1804,3658,5883,1915,3811,7010,2365,4362,8024,2748,5105,7914,2835,4840,6793,2256,4337,5956,2039,3804,6027,1868,3966,5988,1742,4069,5975,1710,4085,5973,1760,4034,5993,2020,3839,5957,2087,3870,39038.90222905688,17,,,,
47,17047,Edwards County,-88.0479408,38.4170954,576793672.0,576012470.0,781202.0,6721,6555,59,47,33,31,2,6507,6285,90,108,36,36,14,6455,6228,89,111,36,39,17,6245,5994,63,65,50,52,16,6431,6203,88,51,38,81,16,6182,5912,86,28,61,137,16,5185,5098,28,15,22,25,2,4995,4900,39,24,20,4,0,4950,4860,28,35,26,4,0,4814,4648,42,27,27,51,14,4814,4648,42,10,21,8,4,0,81,4948,4821,35,24,15,55,0,4740,4630,26,8,20,56,0,4,3389,1140,2137,3150,730,2420,3347,434,2778,3192,727,2322,2387,453,1745,2376,360,1942,2942,473,2369,3366,488,2833,3272,556,2658,3018,412,2552,2783,448,2280,2824,296,2488,2766,329,2384,2773,310,2408,2760,315,2314,2772,412,2307,2764,365,2399,0.0,17,,,,
48,17071,Henderson County,-90.9412464,40.814471,1023634727.0,981068795.0,42565932.0,7331,7133,79,38,23,49,8,6884,6620,117,46,48,53,0,6809,6533,123,50,39,64,0,6387,6060,112,63,32,80,9,6737,6434,123,73,45,42,0,6374,6012,120,36,3,134,0,5838,5720,48,14,13,35,7,5580,5415,80,18,14,53,0,5530,5360,70,18,15,57,0,5185,4954,73,23,27,73,6,5185,4954,73,13,9,5,5,0,126,5495,5284,80,24,20,34,0,5170,5000,45,14,4,107,0,0,3879,2215,1541,3555,2003,1552,3518,1155,2155,3429,1407,1820,2652,940,1488,2638,989,1566,3205,1152,1929,3647,1187,2394,3566,1299,2178,3179,1034,2058,2912,1020,1813,2960,883,1980,2878,828,1959,2906,864,1949,2895,927,1893,2914,1060,1790,2913,946,1967,57070.96184705,17,,,,
49,17077,Jackson County,-89.3812119,37.7860959,1559751837.0,1511439594.0,48312243.0,60218,45746,2403,9415,2283,724,87,58551,43423,2530,9688,2641,687,36,57977,42915,2567,9575,2536,592,102,52974,37513,2837,8806,2475,1314,108,57517,42522,2541,9555,2457,565,169,53176,38813,2490,8965,2237,763,158,49480,38638,1710,6966,1840,556,63,45890,36085,1511,6851,1076,396,4,45310,35750,1382,6757,1076,378,24,42742,31377,2011,6087,2132,1044,60,42742,31377,2011,5472,1856,101,14,167,1744,44870,35211,1425,6730,1079,357,21,41590,32294,1474,6380,982,386,25,93,25617,15248,9687,23102,13278,9824,24617,11634,10843,24166,13739,8938,20219,10597,7921,20160,10100,9363,22246,11406,9680,22643,11181,10890,22434,11338,10291,20036,9952,9368,17110,9109,7693,17136,8303,8372,17049,8337,8287,17075,8181,8448,16973,8386,8174,17066,9293,7484,17194,8295,8884,41291.39964012919,17,,,,
50,17067,Hancock County,-91.1688008,40.401318,2109362050.0,2055798688.0,53563362.0,19104,18611,185,107,72,120,18,18112,17435,268,219,108,153,0,17983,17291,269,228,106,161,0,17620,16599,318,215,115,346,19,17820,17051,280,240,105,96,0,17582,16729,313,277,94,120,33,14907,14628,109,34,43,77,15,14260,13855,180,103,58,77,0,14110,13740,167,102,38,89,0,13868,13214,212,108,68,232,12,13868,13214,212,51,44,25,0,17,305,14007,13570,201,139,38,83,0,13800,13350,137,162,42,99,4,23,9583,4141,5161,8909,3638,5271,9121,2139,6430,8930,3394,5127,6930,1950,4255,6955,1811,4964,8309,2274,5720,9383,2315,6906,9232,2516,6484,8086,1925,5956,7202,1875,5177,7248,1438,5619,7162,1539,5446,7166,1514,5487,7141,1679,5299,7165,1826,5194,7168,1647,5521,68992.77812807883,17,,,,
51,17025,Clay County,-88.4823254,38.7468187,1216087561.0,1213022841.0,3064720.0,13815,13429,151,76,78,87,3,13338,12833,196,79,159,89,115,13287,12766,17,148,194,174,146,13288,12481,223,118,115,273,11,13217,12687,33,189,235,107,160,13248,12629,26,168,95,311,52,10651,10395,93,43,59,61,3,10295,9965,107,63,38,86,0,10255,9920,20,128,37,144,0,10245,9692,131,59,79,218,10,10245,9692,131,20,61,27,0,16,298,10177,9821,29,84,63,64,0,10205,9795,31,104,39,242,0,14,6538,2425,3926,5743,1548,4195,6350,1020,5021,6104,1917,3905,4791,1104,3314,4785,1006,3655,5859,1178,4480,6886,1129,5629,6702,1295,5254,6144,1001,5015,5737,1082,4554,5832,782,4963,5723,793,4794,5725,828,4788,5695,844,4722,5716,1000,4615,5692,866,4826,0.0,17,,,,
52,17185,Wabash County,-87.8391674,38.4458209,589377564.0,578403995.0,10973569.0,11947,11498,158,125,90,88,11,11573,10918,271,126,196,62,0,11546,10839,308,113,221,70,0,11361,10520,178,128,288,211,16,11390,10717,255,60,295,69,0,11321,10450,345,192,252,90,13,9299,9014,92,67,62,72,7,8850,8545,115,99,45,52,0,8810,8505,133,79,64,47,0,8864,8251,103,53,253,163,12,8864,8251,103,31,227,11,5,15,221,8763,8442,135,34,121,59,0,8750,8255,289,52,99,75,0,4,5858,2462,3254,5044,1576,3468,5464,1151,4047,5274,1541,3500,3940,1093,2528,3967,951,2926,4907,1190,3545,5593,1253,4237,5487,1276,4078,4733,986,3652,4039,899,3083,4076,730,3288,4027,757,3188,4038,776,3191,4034,786,3156,4040,870,3101,4039,838,3201,78427.52250067913,17,,,,
