idx,geo_id,name,centroid_lon,centroid_lat,area_m2,land_m2,water_m2,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_18_CVAP_Total,V_18_CVAP_White,V_18_CVAP_Hispanic,V_18_CVAP_Black,V_18_CVAP_Asian,V_18_CVAP_Native,V_18_CVAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_RemTwoOrMore,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,outer_perimeter_m,parent_state,parent_county,parent_tract,parent_group,parent_vtd
23,18067,Howard County,-86.1141178,40.4835368,761253166.0,759058590.0,2194576.0,82647,72025,2202,6874,1000,782,70,82387,70322,2691,7473,1239,728,74,82349,70063,2769,7610,1287,755,160,83658,68470,3060,8472,1451,1981,105,82486,69694,2877,7806,1378,885,161,83452,69759,3155,8126,1529,1386,143,63096,56517,1272,4238,636,562,41,62815,55675,1421,4651,474,533,14,63050,55590,1618,4736,469,518,14,65147,55083,1861,5344,1049,1508,58,65147,55083,1861,4632,840,171,18,182,2360,63036,55343,1616,4805,555,543,3,63840,55550,1798,4967,719,623,4,218,38333,17459,20245,35370,15092,20278,37361,11223,23685,37140,14319,20413,37011,15816,19904,35948,11837,24111,29272,11159,16736,36781,13193,22256,40610,13303,26449,40547,9871,24359,39768,13369,26399,0.0,18,,,,
24,18125,Pike County,-87.2325472,38.3979613,883430225.0,865841645.0,17588580.0,12845,12544,120,62,43,69,8,12411,11977,101,177,109,41,0,12378,11923,115,183,136,16,0,12250,11666,180,108,35,215,20,12364,11897,181,119,89,72,0,12227,11703,279,91,47,76,0,9965,9787,58,32,28,50,8,9590,9410,25,95,15,40,0,9510,9375,25,85,15,15,0,9501,9085,108,60,29,173,18,9501,9085,108,29,15,31,0,6,227,9626,9335,140,63,15,65,0,9590,9195,218,65,45,63,0,0,6105,2700,3221,5736,2119,3617,6024,1297,4399,5949,2228,3405,5917,2671,3115,5595,1581,4014,5161,1680,3236,5827,1872,3798,6220,1415,4692,6141,1092,4199,5991,2043,3948,0.0,18,,,,
25,18029,Dearborn County,-84.975868,39.1408973,796190278.0,790171258.0,6019020.0,50047,48486,502,492,286,249,44,49501,47648,614,612,305,263,75,49479,47567,646,615,306,265,76,50679,47319,724,675,410,1144,66,49612,47702,667,561,311,266,139,50709,48452,743,631,326,301,144,37532,36575,290,264,189,199,29,38055,36940,410,289,160,223,10,38015,36995,346,303,165,133,15,39363,37114,434,356,270,873,46,39363,37114,434,211,170,66,6,94,1268,38273,37208,316,286,180,210,36,39280,38030,393,315,212,234,40,59,22295,7124,14886,21903,6517,15386,24131,4883,18113,23517,5251,17288,23227,5936,16606,22769,4819,17950,18256,4481,13288,23180,5211,17395,25361,5446,19528,25295,4559,18353,24966,5401,19565,34606.121575502926,18,,,,
26,18071,Jackson County,-86.0425161,38.9119571,1331010516.0,1320836472.0,10174044.0,42376,38826,2410,439,427,295,47,43938,38994,2903,635,977,305,62,44025,38802,3086,664,1052,373,27,46428,37815,6251,837,634,1264,33,44077,38454,3238,710,1125,399,19,46212,39744,3791,810,1254,566,112,31960,29714,1532,238,276,209,29,31855,30205,729,355,304,194,0,32010,30115,771,430,439,224,15,34993,29688,3674,493,427,906,20,34993,29688,3674,349,355,53,4,56,814,31875,30013,603,598,399,216,20,33320,31225,683,633,413,275,30,55,17576,7354,9826,16238,5837,10401,17667,3843,12859,17620,5626,11269,17406,5613,11320,16849,4289,12560,14414,4198,9431,17409,4655,12225,19238,4302,14555,19136,3234,11714,18258,4374,13884,0.0,18,,,,
27,18101,Martin County,-86.8018468,38.705322,881648966.0,869615721.0,12033245.0,10334,10125,70,40,41,63,2,10210,9913,107,82,13,86,0,10212,9910,117,79,19,87,0,9812,9335,92,79,76,226,16,10169,9570,247,122,59,129,5,9863,9329,129,88,72,70,9,7853,7716,44,16,33,47,1,7900,7680,57,84,14,67,0,7930,7710,62,79,18,61,0,7563,7247,52,43,47,158,13,7563,7247,52,10,28,18,6,11,191,7891,7548,152,79,46,68,0,7660,7460,55,22,52,69,0,24,4945,1706,3122,4595,1332,3263,4846,881,3697,4794,1595,2934,4774,1823,2829,4498,1062,3436,4324,1127,2997,4791,1281,3366,5144,1011,4029,5118,709,3232,4935,1290,3645,0.0,18,,,,
28,18177,Wayne County,-85.0067351,39.8630908,1047241244.0,1040539270.0,6701974.0,68917,61322,1804,4558,734,629,138,66613,58859,1949,4621,879,549,72,66342,58470,1990,4641,916,782,76,66553,56689,2495,4715,994,1380,57,66176,58010,2065,4724,964,876,42,66522,57927,2212,4857,1033,1187,46,53034,48204,1023,2917,517,454,114,51210,46625,896,2859,410,388,0,50885,46395,882,2856,358,379,0,51683,45112,1499,3042,732,1040,40,51683,45112,1499,2398,576,116,12,195,1775,50650,46176,956,2811,243,450,1,50350,46045,751,2662,255,520,4,274,28665,13459,14558,24834,10530,14304,25579,8322,16028,25690,9309,14703,25694,9518,13472,24968,7929,17039,19762,7482,11241,25148,8874,15154,27662,9524,17567,27620,7534,16914,27164,9319,17845,31001.736568329532,18,,,,
29,18145,Shelby County,-85.7921742,39.5241345,1069034150.0,1064843749.0,4190401.0,44436,41622,1647,646,336,241,34,44399,41011,1844,755,441,267,89,44438,41007,1873,785,453,271,145,45055,40305,2377,956,515,805,47,44559,40965,1984,861,455,260,167,44940,41010,2185,993,472,238,11,33591,31902,964,358,214,187,24,33430,32085,550,441,84,234,0,33570,32085,639,447,94,234,0,34854,31853,1372,587,349,609,26,34854,31853,1372,425,260,54,3,75,812,33676,32167,629,474,74,233,0,33935,32370,803,462,135,174,0,4,17679,6987,10332,16324,5348,10976,18080,4247,12718,17933,5549,11267,17852,6162,10998,17334,4013,13321,14418,4333,9340,17880,5070,12147,19991,5023,14568,19867,3499,12269,19096,5207,13889,0.0,18,,,,
30,18105,Monroe County,-86.52331,39.1607286,1065317579.0,1021806945.0,43510634.0,137974,118837,4029,5857,8487,1141,167,145403,121893,4895,6773,11434,1341,209,146461,122315,4998,6798,11749,1386,262,139718,112490,6358,7419,10220,2791,206,147318,122700,5169,6825,11769,1311,252,140065,115885,5286,6864,11202,1283,189,115503,100310,2960,4253,7293,892,128,114275,102345,2915,4322,3636,756,10,115380,102945,3046,4427,3814,760,15,116544,95055,4926,5336,8635,2128,148,116544,95055,4926,3995,7395,182,28,423,4540,116140,103568,3015,4589,3985,734,3,111080,97880,3281,4723,4366,793,4,189,63163,41448,21078,55916,33431,22485,58480,34236,20600,58796,34260,21057,58219,36379,19921,56009,32076,23933,51911,34194,15542,58653,36243,20392,63037,39861,22071,62523,33033,24605,61592,38405,23187,0.0,18,,,,
31,18103,Miami County,-86.0442575,40.7728833,977431577.0,968246953.0,9184624.0,36903,33307,906,1941,219,592,30,35901,31959,1109,2053,258,532,37,35815,31775,1151,2110,290,537,6,35962,31123,1186,2275,257,1047,46,35684,31534,1225,2126,281,542,0,35952,31353,1322,2243,294,569,6,28510,25786,562,1604,135,451,20,27950,25085,596,1651,123,452,29,27875,24990,587,1697,136,477,4,28125,24564,724,1785,185,756,29,28125,24564,724,1632,111,230,4,64,796,27724,24879,648,1703,60,462,0,28070,25045,789,1721,56,446,4,18,14210,5564,8312,12376,4196,8180,13601,2766,9975,13299,3836,8453,13241,4596,8094,12832,3040,9792,10364,2862,6975,13080,3401,9168,14466,3235,10925,14361,2439,9208,13891,3297,10594,0.0,18,,,,
32,18095,Madison County,-85.7224543,40.166203,1173016937.0,1170470206.0,2546731.0,131636,113577,4189,12333,851,907,106,129505,110235,5074,12549,1091,894,40,129458,109840,5301,12563,1104,972,91,130129,106928,6263,12320,1130,3000,121,129486,109125,5492,12566,1164,988,95,130545,108813,6053,12671,1201,1145,183,101247,89230,2427,8495,550,668,62,99660,87915,1764,8724,630,589,4,99660,87810,1810,8800,565,625,4,101952,86001,3738,8723,783,2285,78,101952,86001,3738,7848,523,219,27,267,3329,99995,87782,1987,8815,619,663,0,101320,88160,2713,9075,560,697,0,263,57569,30167,26416,51179,24378,26801,54397,18600,32389,53954,22188,28057,53708,24043,27586,52102,18427,33675,44064,18698,22840,51410,20564,28771,51765,19524,31215,51806,14254,29434,51107,20511,30596,0.0,18,,,,
