idx,geo_id,name,centroid_lon,centroid_lat,area_m2,land_m2,water_m2,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_18_CVAP_Total,V_18_CVAP_White,V_18_CVAP_Hispanic,V_18_CVAP_Black,V_18_CVAP_Asian,V_18_CVAP_Native,V_18_CVAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_RemTwoOrMore,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,outer_perimeter_m,parent_state,parent_county,parent_tract,parent_group,parent_vtd
1420,18003010817,108.17,-85.0713668,41.1033958,2954985.0,2911158.0,43827.0,4054,3540,95,332,56,27,2,4472,3691,132,579,65,5,10,4364,3723,130,401,37,6,8,4127,3150,241,493,184,76,9,3969,3511,103,226,64,9,11,3888,3315,31,443,80,38,0,3009,2683,57,216,36,18,1,3410,2950,55,355,40,0,10,3315,3000,34,265,10,0,10,3087,2491,129,308,113,40,3,3087,2491,129,267,94,8,0,12,86,3037,2816,28,163,16,0,6,2845,2570,20,189,49,8,0,15,2148,915,1219,2064,817,1247,2010,737,1146,2003,824,1077,1995,846,1087,1938,635,1303,1728,798,882,2006,863,1085,2169,1015,1115,2169,695,1298,2132,946,1186,0.0,18,18003,,,
1421,18003010819,108.19,-85.0890145,41.1316828,3031733.0,3031733.0,0.0,4389,3635,130,505,83,39,5,5124,3840,325,843,91,125,0,5024,3798,360,737,109,213,0,4699,3530,274,662,151,92,0,4580,3322,318,808,87,214,0,4675,3545,383,631,122,70,0,3495,2969,95,337,66,28,4,4070,3155,234,654,4,35,0,3995,3315,225,419,4,35,0,3885,3033,191,475,109,64,0,3885,3033,191,402,94,9,0,24,132,3605,2964,151,437,4,55,0,3875,3125,205,465,65,20,0,0,1893,877,1001,1904,811,1093,1905,736,1001,1887,771,980,1879,820,982,1832,663,1169,1551,709,776,1903,823,997,2112,977,1076,2113,707,1181,2080,925,1155,0.0,18,18003,,,
1422,18003010308,103.08,-85.1512959,41.1918532,8880371.0,8880371.0,0.0,5484,4976,131,136,205,24,7,6252,5530,314,151,278,86,0,6482,5724,240,264,279,24,0,7841,6657,307,310,399,128,15,6660,5726,285,453,195,0,1,7810,6817,259,524,193,9,8,3767,3472,68,79,125,19,5,4300,3920,170,99,115,0,0,4520,4050,145,220,110,0,0,5502,4787,186,177,248,78,11,5502,4787,186,144,221,7,1,11,145,4601,4002,189,315,92,0,0,5625,4890,175,410,134,10,4,4,3036,999,2012,2786,724,2062,3264,883,2200,3267,1004,2143,3263,989,2204,3170,717,2453,3010,1069,1865,3539,1130,2322,4245,1486,2676,4255,981,2916,4171,1320,2851,0.0,18,18003,,,
1423,18019050404,504.04,-85.7709289,38.303388,2787515.0,2787515.0,0.0,3986,3585,127,203,31,33,5,4065,3448,241,210,77,112,27,4118,3490,268,177,55,151,18,4129,3319,289,319,55,139,10,4411,3110,1038,171,33,91,17,3996,2895,847,169,33,48,11,3125,2881,77,123,19,21,1,3308,2998,65,115,0,100,0,3333,2973,105,90,0,140,0,3245,2704,178,218,37,111,9,3245,2704,178,170,11,10,0,10,162,3105,2663,230,91,0,65,0,2885,2430,285,105,15,27,0,29,1822,895,907,1740,873,867,1839,763,939,1821,863,872,1799,829,899,1738,750,988,1520,721,713,1808,827,914,1980,903,1028,1973,742,1116,1909,884,1025,0.0,18,18019,,,
1424,18019050605,506.05,-85.7325038,38.3411118,10675130.0,10475541.0,199589.0,5347,4338,222,658,117,25,5,5908,4530,431,767,180,0,0,5846,4630,295,840,81,0,0,5873,4361,351,901,170,122,4,5259,3987,286,898,88,0,0,5199,3824,193,881,171,163,0,4063,3403,134,437,81,18,3,4650,3745,200,525,180,0,0,4510,3895,60,485,80,0,0,4670,3658,221,588,122,90,2,4670,3658,221,508,99,8,0,20,156,4091,3359,81,565,93,0,0,4020,3135,140,550,90,115,0,0,2463,1167,1271,2509,1177,1332,2756,1091,1513,2727,1191,1421,2706,1121,1494,2613,1034,1579,2330,1088,1146,2736,1195,1453,2967,1354,1560,2949,1098,1719,2857,1291,1566,0.0,18,18019,,,
1425,18019050703,507.03,-85.7424788,38.3816355,21137797.0,20777520.0,360277.0,5974,5417,359,98,59,40,4,5646,4819,376,451,0,0,0,5699,4620,317,761,0,0,0,6697,5393,732,264,91,242,3,5916,4905,351,609,0,21,0,6389,5643,215,179,216,54,0,4408,4074,200,61,38,29,2,4200,3895,110,200,0,0,0,4040,3605,80,345,0,0,0,4992,4171,439,158,64,185,1,4992,4171,439,114,38,16,1,6,207,4236,3799,78,346,0,17,0,4710,4405,65,50,115,39,0,30,2488,959,1495,2410,872,1538,2828,832,1824,2803,987,1706,2763,932,1742,2662,800,1862,2343,876,1377,2746,941,1718,2949,1031,1864,2941,865,1887,2843,1018,1825,0.0,18,18019,,,
1426,18019050904,509.04,-85.7020156,38.4684534,67953136.0,67228511.0,724625.0,5528,5177,162,121,36,25,4,6018,5530,163,192,18,133,0,6780,6157,228,243,11,217,0,7013,6207,221,307,100,150,6,6875,5970,206,536,9,236,1,7492,6517,163,613,168,88,2,4047,3846,84,65,24,19,1,4400,4180,50,120,0,30,0,4900,4645,75,130,10,40,0,5315,4810,138,180,54,98,0,5315,4810,138,151,40,13,0,14,149,5145,4729,74,293,10,45,0,5525,5025,85,360,15,24,0,4,2616,988,1609,2551,957,1594,2979,816,2027,2940,998,1864,2890,931,1897,2775,782,1993,2584,868,1622,3105,967,2070,3710,1112,2537,3680,870,2550,3536,1078,2458,0.0,18,18019,,,
1427,18019050803,508.03,-85.7985592,38.509164,119305748.0,118452659.0,853089.0,4899,4715,71,73,28,20,3,5553,5270,116,151,0,16,0,5754,5494,103,133,0,24,0,6069,5536,140,167,50,143,14,5579,5433,0,146,0,0,0,5811,5339,117,171,58,71,0,3708,3590,45,43,19,16,3,4375,4210,50,120,0,0,0,4545,4405,45,95,0,0,0,4605,4259,85,83,27,115,9,4605,4259,85,58,23,16,6,8,150,4324,4200,0,110,0,0,0,4590,4270,50,175,60,45,0,0,1925,666,1235,2054,643,1411,2430,551,1735,2402,708,1602,2379,682,1604,2282,593,1689,2064,646,1327,2490,669,1735,2894,713,2114,2875,608,1993,2760,733,2027,0.0,18,18019,,,
1428,18019050804,508.04,-85.7371886,38.5632782,80475031.0,80026353.0,448678.0,4010,3885,28,49,28,20,5,4170,3964,84,41,81,0,0,4002,3772,111,54,65,0,0,4093,3778,76,74,32,95,5,4263,4046,111,56,50,0,0,4344,4127,148,29,0,7,0,3104,3021,16,32,15,12,2,3265,3180,20,39,20,0,0,3190,3085,40,54,15,0,0,3100,2916,42,32,18,68,2,3100,2916,42,15,6,1,0,8,112,3084,2962,36,60,16,0,0,3100,3015,65,19,0,8,0,0,1685,632,1031,1558,535,1023,1828,400,1343,1808,545,1186,1779,505,1215,1716,430,1286,1614,459,1086,1890,495,1338,2229,535,1652,2203,423,1556,2104,551,1553,0.0,18,18019,,,
1429,18019050704,507.04,-85.7742523,38.3995057,19008022.0,18807691.0,200331.0,5848,5527,145,75,74,29,6,6736,6048,303,83,282,33,0,6758,6145,308,65,216,41,0,7062,6280,179,207,216,167,12,6649,6215,94,58,237,60,0,7454,6786,277,241,114,36,20,4322,4140,86,40,45,23,3,4820,4550,64,74,105,30,0,4880,4590,69,59,125,40,0,5305,4815,90,119,143,123,7,5305,4815,90,81,108,8,5,10,188,4840,4539,32,47,137,58,0,5620,5150,119,209,95,32,0,20,2861,1084,1747,2897,990,1907,3304,974,2157,3276,1113,2053,3235,1114,2040,3103,903,2200,2861,1073,1666,3323,1138,2096,3735,1310,2352,3727,1067,2398,3585,1237,2348,0.0,18,18019,,,
1430,18019050903,509.03,-85.6809048,38.426654,14227210.0,14165566.0,61644.0,3452,2996,257,159,17,21,3,3921,3292,377,92,62,15,42,3375,2982,147,128,38,0,42,2972,2465,199,167,58,86,17,3009,2681,66,99,54,0,68,2782,2269,44,353,15,42,0,2458,2197,144,94,13,19,3,2825,2545,155,60,40,15,0,2565,2400,65,70,24,0,0,2192,1887,119,92,41,59,6,2192,1887,119,72,29,6,0,2,77,2251,2147,16,43,32,0,0,2005,1810,45,130,14,10,0,0,1215,568,629,1209,570,639,1230,388,762,1218,475,689,1203,441,717,1166,405,761,976,385,541,1202,429,730,1343,452,870,1330,376,838,1274,440,834,0.0,18,18019,,,
